"Age Bucket","Album Name","Apple ID Number","Apple Music Subscription","Auto Play","Build Version","Bundle Version","Camera Option","Carrier Name","Client Build Version","Client Device Name","Client IP Address","Client Platform","Container Album Name","Container Artist Name","Container Global Playlist ID","Container ID","Container iTunes Playlist ID","Container Library ID","Container Name","Container Origin Type","Container Personalized ID","Container Playlist ID","Container Radio Station ID","Container Radio Station Version","Container Season ID","Container Type","Contingency","Device App Name","Device App Version","Device Identifier","Device OS Name","Device OS Version","Device Type","Display Count","Display Language","Display Type","End Position In Milliseconds","End Reason Type","Evaluation Variant","Event End Timestamp","Event ID","Event Post Date Time","Event Reason Hint Type","Event Received Timestamp","Event Start Timestamp","Event Timestamp","Event Type","Feature Name","Grouping","House ID","IP City","IP Country Code","IP Latitude","IP Longitude","IP Network","IP Network Type","IP Region Code","Is CMA Station","Is Collaborative","Is Delegated","Is Heatseeker Station","Is Heavy Rotation Station","Is Subscription Owner?","Is Vocal Attenuation","ISO Country","Item Type","Key Request","Lease Limit","Legacy Playback ID","Local Radio Station ID","Local Radio Station TuneIn ID","Managed ID","Matched Content","Media Bundle App Name","Media Bundle Type","Media Duration In Milliseconds","Media Type","Metrics Client ID","Milliseconds Since Play","Offline","Ownership Type","Personalized Name","Play Duration Milliseconds","Promotion Scenario ID","Provided Audio Bit Depth","Provided Audio Channel","Provided Audio Sample Rate","Provided Bit Rate","Provided Codec","Provided Playback Format","Provider ID","Radio Format","Radio Seed ID","Radio Station Country","Radio Station ID","Radio Station Position","Radio Type","Radio User ID","Referral ID","Repeat Play","Report Type","Royalty Free","Sales Order Vendor ID","Session Is Shared","Shared Activity Devices-Current","Shared Activity Devices-Max","Shared Activity Type","Shelf Content Identifier","Shelf Content Position","Shelf Index","Shelf Type","Shelf Visible","Shuffle Play","Siri Request","Song Name","Source Model","Source Radio Name","Source Radio Type","Source Type","Start Position In Milliseconds","Store Front Name","Subscribed State","Subscription Bundle ID","Subscription Discovery Mode","Subscription Offer ID","Subscription Pool Type","Subscription User ID","Use Listening History","User’s Audio Quality","User’s Playback Format","UTC Offset In Seconds","Vocal Attenuation Duration","Vocal Attenuation Model ID"
"","Expectations","25007810020","true","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQL2 (dt:66)","","","","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQL2 (dt:66)","95.45.34.215","FUSE","Expectations","","","1332078481","","","l.JXx8O67","","","","","","","ALBUM","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","0","TRACK_SKIPPED_FORWARDS","[{""areaId"":""d5VBr6w"",""bucket"":5478,""treatmentId"":""3DJfIzA2""},{""areaId"":""yycF92d"",""bucket"":7835,""treatmentId"":""h5XyLPh3""},{""areaId"":""k3jF97Y"",""bucket"":2697,""treatmentId"":""4IREnJA1""}]","2018-01-25T08:15:17.718Z","5888409605922572244","","NOT_SPECIFIED","2018-01-25T08:15:20.210Z","2018-01-25T08:15:17.718Z","","PLAY_END","library / recently_added / album_detail","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","234521","AUDIO","3z2BcW8Hz7U8z4rlzBiAzEwF6JhTW","2492","false","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sleepover","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","false","","","0","",""
"","Kauai","25007810020","true","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQD3 (dt:66)","","","","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQD3 (dt:66)","95.45.34.215","FUSE","Kauai","","","925399654","","","","","","","","","","ALBUM","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","696","TRACK_SKIPPED_BACKWARDS","[{""areaId"":""isj11bm"",""bucket"":9427,""treatmentId"":""5nKkpBD1""}]","2017-06-16T13:27:27.934Z","2506420079373468479","","NOT_SPECIFIED","2017-06-16T13:37:08.537Z","2017-06-16T13:27:27.238Z","","PLAY_END","library","","","","","","","","","","","","","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","225930","AUDIO","3z3kwOvEzGptz4xYzBhGzwq32T4XI","580603","false","1","","696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V. 3005","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","","","","0","",""
"","Curtain Call: The Hits","25007810020","true","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQHD (dt:66)","","","","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQHD (dt:66)","95.45.34.215","FUSE","","","","","256001037","","","","","","","","","PLAYLIST","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","10379","TRACK_SKIPPED_FORWARDS","[{""areaId"":""isj11bm"",""bucket"":9427,""treatmentId"":""5nKkpBD1""}]","2017-09-28T18:21:41.735Z","1069113507962504618","","NOT_SPECIFIED","2017-09-28T18:21:41.912Z","2017-09-28T18:21:31.356Z","","PLAY_END","library / playlists / playlist_detail","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","274506","AUDIO","3z3kwOvEzGptz4xYzBhGzwq32T4XI","177","false","1","256001037","10379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shake That (feat. Nate Dogg)","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","false","","","0","",""
"","The Rocky Horror Picture Show (Soundtrack from the Motion Picture)","25007810020","true","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQHD (dt:66)","","","","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQHD (dt:66)","95.45.34.215","FUSE","","","","","","","","","","","","","","UNKNOWN","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","952","TRACK_SKIPPED_FORWARDS","[{""areaId"":""isj11bm"",""bucket"":9427,""treatmentId"":""5nKkpBD1""}]","2017-10-11T20:57:28.911Z","7417292464529885007","","NOT_SPECIFIED","2017-10-11T20:57:29.148Z","2017-10-11T20:57:27.959Z","","PLAY_END","library / songs","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","199436","AUDIO","3z3kwOvEzGptz4xYzBhGzwq32T4XI","237","false","1","","952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Time Warp","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","false","","","0","",""
"","NOW That's What I Call Christmas","25007810020","true","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQL2 (dt:66)","","","","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQL2 (dt:66)","95.45.34.215","FUSE","","","","","","","","","","","","","","UNKNOWN","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","1230","TRACK_SKIPPED_BACKWARDS","[{""areaId"":""d5VBr6w"",""bucket"":5478,""treatmentId"":""3DJfIzA2""},{""areaId"":""yycF92d"",""bucket"":7835,""treatmentId"":""h5XyLPh3""},{""areaId"":""k3jF97Y"",""bucket"":2697,""treatmentId"":""4IREnJA1""}]","2018-01-25T20:15:52.950Z","-4329444636717331529","","NOT_SPECIFIED","2018-01-25T20:15:53.101Z","2018-01-25T20:15:51.720Z","","PLAY_END","library / songs","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","116610","AUDIO","3z2BcW8Hz7U8z4rlzBiAzEwF6JhTW","151","false","1","","1230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Let It Snow! Let It Snow! Let It Snow!","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","false","","","0","",""
"","Youngblood (Deluxe)","25007810020","true","","Music/3.3 Android/7.0 model/samsungSMG925F build/G925FXXS6ERCA (dt:66)","","","","","Music/3.3 Android/7.0 model/samsungSMG925F build/G925FXXS6ERCA (dt:66)","92.251.168.89","FUSE","Youngblood (Deluxe)","","","1369109074","","","l.nQZffOe","","","","","","","ALBUM","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","0","MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM","[{""areaId"":""isj11bm"",""bucket"":7289,""treatmentId"":""u8VfIxJ0""}]","2018-04-18T07:04:45.283Z","3338245998396924899","","NOT_SPECIFIED","2018-04-18T07:04:45.381Z","2018-04-18T07:04:45.283Z","","PLAY_END","library / recently_added / album_detail","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","203000","AUDIO","3z2BcW8Hz7U8z4rlzBiAzEwF6JhTW","98","false","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Youngblood","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","false","","","0","",""
"","Speak Your Mind (Deluxe)","25007810020","true","","Music/3.3 Android/7.0 model/samsungSMG925F build/G925FXXU6ERD3 (dt:66)","","","","","Music/3.3 Android/7.0 model/samsungSMG925F build/G925FXXU6ERD3 (dt:66)","178.167.140.28","FUSE","","","","","","","","","","","","","","UNKNOWN","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","975","TRACK_SKIPPED_BACKWARDS","[{""areaId"":""PBTBFHE"",""bucket"":622,""treatmentId"":""18AMFws0""},{""areaId"":""ZPJNBED"",""bucket"":7666,""treatmentId"":""55GLWEX0""},{""areaId"":""isj11bm"",""bucket"":1556,""treatmentId"":""17Eg4xa0""}]","2018-06-04T20:18:43.611Z","-620311382678426140","","NOT_SPECIFIED","2018-06-04T20:18:43.667Z","","","PLAY_END","library / recently_added / album_detail","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","186000","AUDIO","3z11W832z3v7z5QdzCTWzuWEP3ZTj","56","false","1","","-148584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2002","","","","ORIGINATING_DEVICE","149559","Ireland","","","","","","","false","","","0","",""
"","Speak Your Mind (Deluxe)","25007810020","true","","Music/3.3 Android/7.0 model/samsungSMG925F build/G925FXXU6ERD3 (dt:66)","","","","","Music/3.3 Android/7.0 model/samsungSMG925F build/G925FXXU6ERD3 (dt:66)","92.251.135.126","FUSE","","","","","","","","","","","","","","UNKNOWN","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","0","TRACK_SKIPPED_BACKWARDS","[{""areaId"":""PBTBFHE"",""bucket"":622,""treatmentId"":""18AMFws0""},{""areaId"":""ZPJNBED"",""bucket"":7666,""treatmentId"":""55GLWEX0""},{""areaId"":""isj11bm"",""bucket"":1556,""treatmentId"":""17Eg4xa0""}]","2018-06-07T07:51:51.685Z","-5416902457556625649","","NOT_SPECIFIED","2018-06-07T07:51:51.782Z","2018-06-07T07:51:51.685Z","","PLAY_END","library / songs","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","191000","AUDIO","3z11W832z3v7z5QdzCTWzuWEP3ZTj","97","false","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Some People","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","false","","","0","",""
"","You've Come a Long Way Baby (10th Anniversary Edition)","25007810020","true","","","","","","","Music/2.2 Android/6.0.1 model/samsungSMG925F build/G925FXXU4DPJL (dt:66)","86.44.239.197","FUSE","","","","","","","","","","","","","","","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","201665","NATURAL_END_OF_TRACK","","2017-01-21T16:56:16.369Z","-6749747472848762713","","NOT_SPECIFIED","2017-01-21T17:03:50.277Z","2017-01-21T16:52:54.704Z","","PLAY_END","my-music","","","","","","","","","","","","","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","","381782","AUDIO","3zReOytzHN9z4fPzA9lzKKad3QBH","453908","false","1","","201665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Praise You","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","","","","0","",""
"","Dua Lipa (Deluxe)","25007810020","true","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQHD (dt:66)","","","","","Music/3.2 Android/7.0 model/samsungSMG925F build/G925FXXU5EQHD (dt:66)","95.45.34.215","FUSE","","","","","","","","","","","","","","UNKNOWN","","","","42acb4d197db5573f26d82c2bdb064793e72.00000000000000.00000000000000.7087e475d63b40.00000000000000.00000000000000","","","","","","NO_DISPLAY_TYPE_SPECIFIED","1578","PLAYBACK_MANUALLY_PAUSED","[{""areaId"":""isj11bm"",""bucket"":9427,""treatmentId"":""5nKkpBD1""}]","2017-11-17T08:00:01.666Z","573360726296969486","","NOT_SPECIFIED","2017-11-17T08:04:57.068Z","2017-11-17T08:00:00.088Z","","PLAY_END","library / songs","","","","","","","","","","","","false","","","","","","ITUNES_STORE_CONTENT","","","","","","","","","BUNDLE_NOT_SPECIFIED","227996","AUDIO","3z3kwOvEzGptz4xYzBhGzwq32T4XI","295402","false","1","","1578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Garden","","","","ORIGINATING_DEVICE","0","Ireland","","","","","","","false","","","0","",""
